姓名  x1=149  x2=299  y1=324  y2=379
性別:口男 出生  x1=900  x2=1220  y1=302  y2=357
年月  x1=1299  x2=1531  y1=323  y2=383
日身_分證  x1=1556  x2=1787  y1=306  y2=378
口女日期  x1=1007  x2=1223  y1=347  y2=411
統一編號  x1=1607  x2=1771  y1=349  y2=398
段巷  x1=1258  x2=1501  y1=417  y2=479
弄 國籍口中華民國口外籍人士  x1=1537  x2=2159  y1=410  y2=477
戶籍地  x1=145  x2=295  y1=460  y2=520
市 縣`  x1=420  x2=552  y1=467  y2=521
區 鄉鎮市`  x1=692  x2=905  y1=467  y2=521
路(街)  x1=1079  x2=1247  y1=463  y2=526
號樓  x1=1263  x2=1473  y1=499  y2=564
Email :  x1=1607  x2=1774  y1=500  y2=549
同上  x1=399  x2=488  y1=602  y2=647
段  x1=1262  x2=1346  y1=583  y2=661
巷  x1=1384  x2=1468  y1=592  y2=657
弄  x1=1536  x2=1604  y1=598  y2=650
住宅:  x1=1799  x2=1927  y1=590  y2=642
通訊處  x1=152  x2=291  y1=629  y2=680
電  x1=1598  x2=1709  y1=625  y2=687
話  x1=1725  x2=1782  y1=631  y2=680
市 縣`  x1=423  x2=552  y1=672  y2=724
路(街)號樓  x1=1081  x2=1492  y1=667  y2=724
手機:  x1=1802  x2=1930  y1=667  y2=722
